,clean_tweet
2856,මට කියපං උබලාට අපි අගේ නෑ තට්ටයාටඅහුවෙලා නෙඌ බොරු කාරයා අහු වෙන්න එපා අපිඉන්නේ උබලා වෙනුවෙන් මයි බං
2857,හම්මෝඋට ලේ එකක් චෙක් කර ගන්න කියපං
2858,ගන්න කොයින් එකක් කියපන්
2859,දෙයක් කියන්න කලින් දෙපාරක් හිතලා කියපන්
2860,දැං කොයි හරියෙද කියලා හරියටම කියපන්
2861,එතකොට ගන්න අමාරුයි බොතල් විස්සක් වගෙ ගන්නවා නම් කියපන්
2862,කොයි හොටෙල් එක ද කියපන් බලන්න
2863,මනබැන්දු කාරණාවක් මට කියපන්
2864,මැච් එක බලන ගමන් ඉන්නේ ඔය පැත්තේ ඉන්න අයිස් කෝපී විකුණන අයියට කියපන් මේ පැත්තට එන්න කියලා තව ටිකක් හයියෙන් කහින්න ඕන
2865,""" නාවලපිටියේ සිට තවත් පාලු සොහොන් පිට්ටනියක් මැදින් ගොස් වතුකරයට යා යුතුයි "" කියලා ඉතුරු ටිකත් කියපන් බන් අක්කා"
2866,දන්න සිංහලෙන් කියපන් කො අපිවගෙ
2867,ඉතින් කියපන් මට මොකො
2868,රට අල්ලන්න කලින් ආයේ තිස්ස ප්‍රදේශිය සබාව වත් ගන්න කියපන්
2869,සුද්දන්ට කියපන් ලංකාවට එන්න එපා කියලා
2870,සිට ඇත ඔනෙ නම් කියපන්
2871,මාරු කරන විදිය මටත් කියපන් කොම්ලෝ
2872,දැන් මට කියපන් නොවැම්බර්තියෙන්නේ කාගේ එකද කියලා මාර රෙද්දක් නේ මේක
2873,ඒක ඉතින් තමන්ගේ ප්‍රජාතන්ත්‍රවාදී අයිතියක්උඹ හිතනවනන් හූ කියන එක තමයි කරන්න ඕනේ කියලා ගිහින් කියපන්
2874,මයිනගෙ මවුත් ඔගන් එකත් ග්‍ර්න්න කියපන් වෙල් යායක සෙට් වෙමු
2875,මූ අලුත් තියරි එකක් බස්සන්න හදන්නේ අඩෝ හරි ගියොත් අපිටත් කියපන්
2876,ඔව් ඔව් අහපු එකට කියපන්
2877,උඹට එකක් ද ඉන්නේ කියපන්
2878,උබ බැදලද ? කන්න කියආ පියකෝ ලස්සනවෙඅනවා කියපන්
2879,උඹලගේ මිනිස්සු මට දැන් බනිනවා පරිස්සම් වෙලා ඉන්න කියපන් ඊළඟ මැච් එකේ ඉඳන්අල්ලනවා හොඳේ
2880,මන බැන්ඳු කාරණාවක් මට කියපන්
2881,හතර දෙනාම මෙන්සන් කොරන්නම් කියන දෙයක් උන්ට කියපන් අනුන්ගෙ පනිවිඩ ගෙනියන්න බෑ
2882,ඒ මේකෙ ඉන්නෙ උඹ නේද ? ඇත්ත කියපන් මන්ත්‍රීණී උබ නෙමෙ කියපන්
2883,හොද එකක් සෙට් උනොත් මටත් කියපන් සගෝ
2884,නෑදෑයන්ට කුද ගහගන්න කියපන් බං මේක ඔයාගෙ ජීවිතේඔයාට ඕනෙ දේවල් වෙන්න ඕනේ
2885,""" ට්‍රිපර් "" කියලා කියන්නෑ සාන්ත එක්කෝ "" ටිපර් "" කියපන් නැත්තම් "" ට්‍රිගර් "" කියපන්මන්දබුද්ධික බයියෝ නම් ඔහොම්මයි"
2886,දෙයක් කියන්න තියෙනවා නම් මූනටම කියපන් කියලා කියන එකෙක්ගෙ මූනටම කියන්න තියෙන දෙයක් කියලා බලපන් ආයෙ ඌ උඹත් එක්ක කතා කරන්නෙ නැ මළාට මට වෙලා තියෙන්නෙම ඔය වගෙ වැඩ අදත් උනා
2887,මේ උබ එන්න එපා හරිද ඕවාට කියන්න තියන දෙයක් මූන්ට කියපන් අතන මෙතන දන්නේ නැතුව
2888,මන බැන්දූ කාරනාවක්මට කියපන්
2889,කියන එක හරියට කියපන් බං ඨවුඛණ්ඪ
2890,ඇත්ත කියපන්ඔය උබේ එක්ස්පීරියන්ස් එක නේද ? ?
2891,ප්ලෑන් කරලා ගැහුවන්මිි දන්න දේ ඔක්කොම කියපන් කෝ
2892,පහට වැඩිය බෑ නේහරි පූළුවන් නම් හම්බනොවිච්ච එකා කියපන් රණසිංහ ප්‍රේමදාස මහින්ද රාජපක්ෂ ගෝනවල සූනිල් ඕල්කට් කුමා සංගක්කාර
2893,යන දවසෙම කියපන් අහනකම් ඉන්නෙ
2894,ඇන්දෙම නැතිව හිටියම දණහිසදුටුවේ නැවිලා ඉන්න විට බොට කවුරැද කෙටුවේ අසමජ්ජාති උන්නම් හැම තැනනැටුවේ කවුරැද තැලුවෙ කියපන් කොස් ඇට අටුවේ
2895,කොඩියේ සිංහයාගේ කඩුව පස්සට තියලා ගෝටාට වාඩිවෙන්න කියපන්
2896,ෂුවර්දවසරේ එකෙක් ලිව්ව එකක් කියලා පුංචි අම්මපා කියපන්
2897,සහරාන්ලා පුපුරවාගත්තෙත් නොදැක්ක දිවියලෝක බඩු වෙනුවෙං තමාහුකන්න බලාගෙන දිවියලෝකෙ යන්න පිංදහම් කරන්න එපා
2898,රාජපක්ෂලගෙ ගූකන හුත්තිගෙ බල්ල මුගෙ අම්මට බල්ලො හුකල ජාතක උන හුත්තිගෙ බල්ල රාජපක්ෂලට හුකන්න ගෑනු නැත්නම් තමන්ගෙ ගෑනි උනත් හුකන්න දෙන හුත්තිගෙ වහලෙක් මූ
2899,රාජපක්ෂලගෙ ගූකන හුත්තිගෙ බල්ල මුගෙ අම්මට බල්ලො හුකල ජාතක උන හුත්තිගෙ බල්ල රාජපක්ෂලට හුකන්න ගෑනු නැත්නම් තමන්ගෙ ගෑනි උනත් හුකන්න දෙන හුත්තිගෙ වහලෙක් මූ
2900,නිකම් තමයි ඔකාට නම් හුකන්න වෙන්නෙ
2901,කන්න නෙවේ හුකන්න ගිහින් තිබ්බෙවලට
2902,මේ පොතේ හිටිගමන් හුකන්න ඇගිලි දාන්න පුළුවන් සහ වද කරදර අඩෝවැඩියාව අඩු ගෑනියෙක්ව ප්‍රධාන චරිතය කරලා තියෙනවාමේ ප්‍රධාන චරිතය පිරිමි ආශාව සපුරාලන විදිහේ ලොජිකලි හිතන යුනිට් එකක්හොඳ රසවත් කතාවක්මේක මෑත යුගයේ ලියවුන එකක්පොත් පොතක්
2903,රාජපක්ෂලගෙ ගූකන හුත්තිගෙ බල්ල උබෙ අම්මට බල්ලො හුකන්න තවත් රාජපක්ෂලට පුක දෙනවමිනිස්සුන්ට කන්නවත් නෑහුත්තිගෙ බල්ල
2904,හැදීගෙන ආවා විතරයි ඒකටත් හුකන්න හදන්නේ
2905,“ එහෙම හුකන්න බෑ ” - සිරි ලංකා පොලෝසිය
2906,හුකනවා හුකලා හුකන්න ගිහින් හුකලා අහු වෙලා හුකලා වීඩියො කරල බෙදලා හුකලා ඉන්ටනෙට් දාල බලෙන් හුකලා ඒ හුකලා තියෙන්නෙ අරයා නෙහුකනතරලෙස යෙදිය හැකි නම්‍යශීලී මනරම් තනි වදනක් තිබියදී ලිංගිකව හැසිරෙනවා අඹුසැමි ඇසුර ආදී බ්‍රාහ්මණ වචන දාන්න වෙන එක පාපයක් නො ?
2907,ට හුකන්න ගල් කැරියා ඕකව ආබාධිත කරන්න ඕන
2908,කන්න නැතිවුනත් කමක් නෑ හුකන්න රටක් තියෙනවනෙ
2909,මේක දාර බඩුව කොල්ලොන්ට හුකන්න දීල සේරම වැඩකරව ගන්නව මේව දාන්නෙ අහින්සක කොල්ලොන්ට මේ වගේ බඩු කරගහන්න වෙන හින්ද ? විස්තරේ දැනගන්න
2910,අම්මෝගොරකා මදේ එලියටම ඇවිත් ඇතුළ්ට දාලම හුකන්න තිබ්බ නම් මරු
2911,ඇගිල්ල ගහන්න එපා මම ආසයිඔයාගෙ නංගියා ලෙවකාලා හොදට හුකන්න
2912,ඉතින් දාපන් මේක අදාල තැනට හුකන්න පුලුවන්ද උඹට
2913,ඇමරිකාව එනව ටහුකන්නඩ එහෙම හුකන්න දෙන බෑනෙ තහන් ඇන්ඩ්‍රොයිඩ් - ඒ හූ ඒ අපිටතියනව පකයෝ
2914,දෙවිවරුන් ට පින් සහ ආශිර්වාද විතරයි ඕනසාමාන්‍ය මිනිසුන්ට එහෙම බෑකන්න බොන්න හුකන්න ආදී වැඩ ගොඩක් තියෙනවා කරගන්නඒ නිසා කවුරුහරිගුරුදෙවිමුරදෙවි ටෙක්නීසියන් දෙවි කීවට ටිපර් වෙන්න එපාමොකදකඩේ මුදලාලි ට අපි කෞරුත් දෙයියො නෙමෙයිඑයා බඩු දෙන්නෙ සල්ලිවලට
2915,දුන්නොත් මේකිගේ කිම්බ හපලා දිව දාලා උරලා පුකේ හිලත් ලොකු කරලා කනෙන් කැරි විසි වෙන්න හුකන්න ඔනියාලුවෝ තුන් හතර දෙනෙක් එක්ක පොඩි අඩියක් ගහාන ගමන් මේකිව බයිට් එකට ගන්න තිබුනනම් මරු ඈ
2916,මට නම් ඔය හුත්තවල් අදාලම නෑ හුකන්න කතා කොලා වගෙවලදාලා රීච් ගන්නද දන්නෙ නෑ හදන්නෙ
2917,උඹෙ අම්මට හුකන්න තමයි තියෙන්නේ ඔක්කොම එකතු වෙලා
2918,"ගෙදර අසලින් යන ඩෑලක් මා මිදුල අතුගානු දුටුවිට "" හැමදාම ඕම කරන්න බෑකාවහරි ගේන්න කල්හරි දැං "" මම හිතින් "" උඹල නම් ගේන්න කියයිගෙනාහම මම එපැයි හුකන්න """
2919,අනේ නැහැ ඔයා හුකන්න හොදට හුකන්න ජිවිත කාලෙම හොදට හුත්ත පදමි කරගන හුකන්න
2920,ඇයි ගාල්ලෙ දැනට හුකන්න තියන තැං මදිද ? ? ?
2921,ඕකෙන් අපේ අම්මට හුකන්න කැමතිද
2922,"ඕකට දෙන්න උත්තරයක් ලංකාවෙ ⁣ "" අපි තමයි ඒයි බොහිමියානුවො "" කියාගෙන හක්කලං ගහන එවුංට නෑ ඒයිබොහිමියානු ආදරේ කියල අපේ අයියලා කරන්නෙ නිකං හුකන එකයි රස්සා නොකර කාලකන්නි වෙවී හුකන්න සෙට්වෙච්චි කෙල්ලංගෙං යැපෙන එකයි විතරයි"
2923,බොහිමියානු ආදරේ කියන්නෙ සෙට්කරගන්න කෙල්ලට අවම මහන්සියකිං හා අවම කාලයකිං හුකන්න සහ හුකල අතාරින්න තියන මාර්ගයක්
2924,කියන්නෙ තනිකරම බොරැවක් මේකෙ ඇත්ත යුක්තිය කතාකරන්න බැහැ කරලාදානවාමාර්ක් කාරයගෙ අම්මට හුකන්න ආයෙ හදන්නෙ නැහැමේකෙ ඇත්ත යුක්තිය කතාකරන්න බැහැ මොන හුත්තක්ද අපි කන්නෙ බොන්නෙ මේ කිම්බ නිසාදකරන එවුන්ගෙ අම්මලට හුකලා තියෙන්නෙ නරි
2925,මූදු හුකන්නො විතරයි අහලා තියෙන්නේ
2926,ඇඩෙනවා දෙයියනේ පේපර් ටික බෙදාගත්තා ආයෙ කරන්න මේ හුකන්නො එක්ක බෑ
2927,උඹයි චලකයයි මාරු ගහනවාද උඹට අමාරුලැජ්ජයි හුකන්නො
2928,පිස්සු හුකන්නො සෙට් එක මේ පාරත් සොට් එක දෙනවා වගේසිරාවටම පව් අවංක චේතනාවෙන් ඡන්දෙ දීපු මිනිස්සු
2929,ඉඳකිං තෝ හරකගෙ නෙමේ නාකි හුකන්නො එළුවගෙ එළුවගෙ
2930,අනෙ හුත්තො කැලියො පකයො හුත්තිගෙ පුතො කැලි හුකන්නො කියන දේ අහපන් අපිටඇහෙනකෝල්
2931,මුන් නම් ගෝත හුකන්නො ට්කක්
2932,වදුරැ හුකන්නො පාර්ලිමේන්තු ගියාම ඕම තමාකමක් නෑ උගෙ චොයිස් එක වෙන්නැති
2933,* අපේ මුත්තා කැම්පස් ගිය කාලෙත් ඔහොම ගහගත්තා * සීයා පප්පා කැම්පස් ගිය කාලෙ ඕම නෙමෙ අම්බෝ මරාගත්තා * ස්කෝලෙවත් වලි දැකල නැති උන්ට මේව මැජික් ගුටිකෙලි මේ විදිහට නෝමලයිස් කරන උගත් කියන මංදබුද්ධික හුකන්නො ටිකක් හදන්න නේද අවුරුද්දක්ට ආණ්ඩුව බදුසල්ලි කෝටි ගනන් නාස්ති කරන්නෙ
2934,කෝ බොල හුකන්නො සංඝ රත්නය
2935,ඒ පාර මේ හුත්ත හෙණ අවුලක් වගේ ෂෙයා කරනවාඇයි හුකන්නො පොඩි උනුත් හාංඩෝන තොපි අහපු අලිපුක්කුත්තවල්මද ? ඇයි අනිත්තෙව්වා ඇහුවම උංට ටියුබර්කියුලෝසිස් හැදිලා මැරිලා තිරිසං යෝනියක ඉපදෙනවද ? දැං එන්ඩෙපා කෝ වර්තමානයේ
2936,තර්කයක් දරාගන්න බැරුව කුණුහර්ප කිය කිය අප්පට හැමිනෙන උන්හැම එකාටම ලොකු අයියා පණ පැටියෝ ගගා අප්පට හැමිනි හැමිනි යන උන් රටට එකයි ලොකෙට එකයි අපිට පුකයි පෙන්නන පකයලාහැම හුත්තම විචාර කර කර පතරංග හැලි ලිය ලිය උන් හරි කියල කියන්න යන කනූ හුකන්නොඑහෙමඋන්දකිනදකිනතැනකෙලගහලාඑලවන්නඔන
2937,මුට් කියන්නෙ පිස්සු හුකන්නො කියලා
2938,අම්මපා ඔව්විද්‍යාව කියන්නේ තනිකරම බොරුවක්අර අහසේ දෙවියෝ නෑ කිව්ව පරයා අහු උනොත් ගහප් මැරෙන්න ඔලී සර් නිසා අපි මේ සැරේ ගොඩ
2939,හෑස්ටැග් එක හරියට ගහප් පරයා
2940,කෞද ඩෝ මේ නංගිට ෆේක් කිව්ව පරයාගහප් උස්සලා පොළොවේඔයා ඔහොම ට්ව්ට් කරන් යන්න මල්ලේමොකෙක් හරි සද්දයක් දැම්මොත් ජෙරී අයියට කියන්න
2941,මූ යකෝ ගහප් පරයා ‍‍
2942,කවුද යකෝ අපේ ඩෙසිකාට මංගල යෝජනා ගෙනාපු පරයාගහප් අල්ලලා පොළවේ
2943,අඩෝ පරයා ගහප් පෛන් සෙල්ලම් කරන්න එපානේද අනේ
2944,කවුද යකෝ ලොක්කා දහයට නිදාගන්නව කියපු පරයා ? ? ? ? ගහප් ඇටදෙක කුඩුවෙන්ඩබලපං ඩෝ දොලායිහතලිස්පාටත් ඈරලා
2945,කවුද යකෝ ලොක්කා දහයට නිදාගන්නව කියපු පරයා ? ? ? ? ගහප් ඇටදෙක කුඩුවෙන්ඩබලපං ඩෝ දොලායිහතලිස්පාටත් ඈරලා
2946,කවුද යකෝ නෙතූට බූට් තිබ්බ පරයාගහප් උස්සලා පොලවේ
2947,උබෙ පුක සුදුද කලුද කියල දන්නෙ නැතුව ඇගිලි සෝදවලා පුක් ගසන්න ආවෙ ගහප් පරයා
2948,ගහප් පරයා කැත විදියට හිතුවොත්
2949,මොහොතක් නැවති මෙය කියවන්නලැජ්ජ නැද්ද යකෝ කියවන්න කියපු පලියට කියවන්න ගහප් පරයා
2950,ආලය වනාහී මොකටද හුත්තො ආලය වනන්නේ ගහප් පරයා ආවා මෙතන වනන්න
2951,ගහප් පරයා නහය ඇඹෙන්න
2952,ඇයි හිතුවද ලැට් ඉඹ ඉඹ යන්න තරම් පුපේ අමාරුවක් තීනවා කීලා
2953,පුපේ දාරෙ ඉවර වෙන තැනත් තියෙනව
2954,සම්මානේ ගහ ගන්න ඕන පුපේ
2955,නුවර ඉපදිලා නුවර හැදිච්ච එවුන්ට මේ තරම් නම් පුපේ අමාරුවක් නෑ නුවර නුවර ගගා වැලලෙන්නෙත් නෑ
2956,"එකේදි කෙලවීමට ප්‍රධානතම හේතුව "" මේක ඕන්නැ මේක එන්නැ වෙන එකක් බලාගෙන යනව "" බලාගන්නෙ නැතුව ආපු එක ආවම "" දැං හරිනෙ පුපේ අමාරුව "" ආසයි_බයයි"
2957,බල්ලන්ට හදවත් දෙකක් තියෙනවා කියලා දන්නේ අද මං එකත් පුපේ
2958,මොලහතම තියෙන්නේ පුපේ ඒකයි අවුල
2959,කට්ට පුපේ ඇනුන නංගිත් ඉන්නවා
2960,සමහර රට යන්නකරන ඈයෝ ඇවිත් දෙන්නේ ලොරි අපෝ ඕක මට කරගන්න පුලුවන් කරන ගමන් උනත් ඔයමගේඑකටතියෙන්නෙ බ්ලා බ්ලා බ්ලාහැබැයිගැන කිව්වම නැට්ට පුපේ ගහන් අහන්නේ වෙන යන්න ක්‍රමයක් නැද්ද කියලා ඒක නැතුව
2961,දැන් ඉතින් ඕක යනකන් නැගිට නැගිටබලපන්කො හරිනෙ දැන් පුපේ අමාරුව
2962,ඇයි උඹේ පුපේ ඒම කම්බියක් බැස්සුවදගූ බයියා හැසිරෙන්නේ නම් අනුරට කියලා පුකේ පාරක් ඇරගත්ත එකෙක් වගේ තමයි
2963,සර් විසින් නිට්ටාවටම සුව කල පුපේ අමාරු කිහිපයක් දැන් හොඳටම සනීපයි
2964,අසරණකමට සල්ලි හොයාගන්න කරපු වැඩක් වෙන්න පුළුවන්ඒ ඇරෙන්න වෙන පුපේ අමාරුවක් වෙන්න බැනේ
2965,කොල්ලෙක් සෙට් කරගන්න ඕන කියලා පුපේ අමරුවක් මට නෑ බන්
2966,රත්තරං අස්සයෙක් පුපේ ඇරලද ඒකම කියවන්නෙමං දැම්මෙ ක්‍රිකට් එකක් තොත්ත බබා හොයලා බලපන් ටුවර්කට ස්කොඩ්ක් දාපුවාම ඒක ඕකේ කරන්නෙ මොන අමාත්‍යාංශයේ මොකාද කියලා එතකොට තේරෙයි
2967,උදේට පුපේ ආඩම්බර බලන්න වෙනකොට හරිනේ
2968,ඔබ කිව්ව පරිදිම යහපාලනය යුගයේ සංස්කෘතිය අමාත්‍යාංශයේ වංචා ගැන මහලොකුවට කැ ගහපු නාකි මහල්ලන් සේට් එකට දැන් දඩුවම් දෙන්න කොන්ද කෝ නාකි මයිනා ප්‍රසිද්ධියේ භාරගත් වාර්තා වලට මොකද වුනේ ? දැන් නාකි මයිනා ඒ අක්‍රමිකතා වාර්තාව භාරගෙන පුපේ ගහගෙන නේද ? බොරුව නේද ? දඩුවම් දෙන්න බැරිද ?
2969,පුපේ ගහලා බට මාර්ගෙන් ටැංකියට ගෑස්නං ගහන්න පුලුවන් නේද ඔයාට
2970,එකක් වගේ ටිකක් ප්‍රැක්ටිකල් දෙයක් ⁣ඉල්ලන්න සෝනා ගෑස් ලිප් අරං පුපේ ගහලා තමා උයන්න වෙන්නෙ
2971,දැන් නැට්ට පුපේ පොහොට්ටු වියතගේ
2972,මුන්ගෙ පුපේ ඉදන්ම බොරුව
2973,ඩඩ්ලිවෙන්නේ කොහේද පම්කයෝ ඌ හම්බ කරන් තියෙන්නේ පරම්පරා කට හරියන්නඌ ලංකාව වටේම හොටෙල් හදනවා ඌට චොපර් ඒකුත් තියනවා වී කිලෝ එක ට අරන් හාල් කිලෝ එකක් ට කඩේට දාන ඌපාලන මිලක් ගැසට් කරලා සතියෙන් නැට්ට පුපේ ගහන් ගැසට් අවලංගු කරපු සෑර් පාස්මරිමොංගල් බයි තියරි
2974,ඇත්ත කියපන් උඹේ අම්මට මැදමුලනෙන් නේද උක්කන්නේ වඳ ප්‍රොම්නයා ටෝ මැදමුලන බලු ජාතකයක්ද කොහේ ගෙරි ගොනාමිනිස්සුන්ට කන්න නැතුව ඉන්නවා ගෙරි හිවල් ප්‍රොම්නයා ඒත් අර ඩේසිගේ පුත්තු සුද්ද කරනවා මූට හරහට දාලා පුපේ ඇරියත් මදිනේ ඉතින් වඳ හිවලා
2975,ඕක පාලනේ කරන්නඩඩ්ලියටත් නැට්ට පුපේ ගහන් ඉන්නේ ඒ උනාට කට ඇරපන් රටේ නැති පචයි බයිලයි කෙලින්නේකීරි සම්බා රුපියල් ට කන්න බෑ කිව්වාම මොනාද ඔය කියවන්නේ මන්දයෙක්ද බන් උඹ
2976,ඔය එක එකාගේ ලොකු කම් බලන්න වෙනවා වගේ නෙවෙයි තමන්ගේ පුපේ ලොකුකම බලන්න උනාම අර ඔක්කොම කැලේ
2977,ඩයස්මිතදබල පුපේ අමාරුවෙන් ඉතාලියේ සිට ආමිඒ ඩයසුත් ඇර මේ ඩයසුත් ඇර තවත් ඩයස්ලා සිටිත්ද
2978,විපක්ෂයේ ඉන්න ඕන උන්ට ඇමතිකම් දීලා ලිබරල් ආර්ථික ගමන් යන්න හදන උන්ට පුපේ ඉඳන් පිස්සු
2979,ඉතිං හැම මැතිවරණයක් පමා ඔය පෙන්වා දුන් හොරුන් අවභාවිතා අක්‍රමිකතා වලට කිසිදු පක්ෂයක් දඩුවම් නොදෙන්නේ ඇයි ? ටොප් ටෙන් හොරු කෝ ? දඩුවම් කෝ ? සංස්කෘතික අමාත්‍යාංශයේ අක්‍රමිකතා වාර්තාව රුපවානියේ ලොකුවට පෙන්වා ලොක්කා භාරගෙන පුපේ ගහගෙන නේද ? දඩුවම් කෝ ? පක්ෂයේ නායකයින් කොන්ද නැහැ ?
2980,සැප පුපේ මල් පිපේ
2981,කාර්‍ය සාධක බලකාය ලංකාවේ අධිකරණය ගැන මිනිස්සුන්ගේ විශ්වාසයක් නැති රටක ඖෂධ මාෆියාවේ දත්ත මකපු එකාට නීතිග්න සංගමේ මහ එකා ඉදිරිපත් වන රටක පාතාල මිනීමරුවෝ ඇප පිට එලියේ ඉන්න රටක මට නම් ඕවා පට්ට ජෝක්ස් විතරමයි ආතල් කෝටියයි ඕවට මරාගන්න උන්ට පුපේ ඉඳන් පිස්සූ
2982,"පුපේ ස්ටාලින්ලායි ජයසිංහලයි ලොක්කෝ වගේ උඩ පැන්නාට ආණ්ඩුවේ උන්ට මොළයක් නැතිවුනාට පැහැදිලි කරන්න පාසල් විවුර්ත කොරනවා කීවාටගුරුවරුවර්ජනය කොරනවා කීවාට දාලා තිබෙන්නේ "" නිවාඩු "" දැන්පාසල් එනවාලු පුලුවන්නම් ඔය මහා ලොකු වුර්තිය සමිති"
2983,ඕයිඋඹලගේඒක ගිහින් ගහපං උබලගේ ලොක්කගේ පුපේ
2984,අනේ හාඅබේඑකේ රොත්ත ක් හිටියාමේ දවස්වල මූණ පුපේ ඔබන් ඉන්නේ එත් දෙන්නෙක්මට තවම සැර් විශ්වාසයි කියන්නේ
2985,නිස්සංකටබෑ කියලා වැලපුන මෝඩ පකයෙක් මම
2986,රෝල් කර සුප්පාගේ පුකේ ගසන්න
2987,වැල බලන එක නවත්තලා පුකේ ගෙඩිය පලාගන්
2988,ලංකාව වටේ මුස්ලිම් පල්ලි හදනකොට හොදයි පංසලක් හදන කොට තමා පුකේ අමාරුව හැම එකාටම
2989,කොහෙවත් ඉන්න අනුරයා ' සෑර්ට උඩින් තියන්න පොල්පිති බයියන්ට පුදුම පුකේ අමාරුවක්නෙහ් තියෙන්නෙඅම්මපා කෙමිල තමුසෙට වටපණු රෝගෙද ? ? ?
2990,නැති ප්‍රස්ණ අැති කරගන්න මුංට තියන පුකේ අමාරැව
2991,පක්ෂය සලකුණ පුකේ ගහගත්තා කියලා රටක් දියුණු වෙනවාද ? පක්ෂවහලුන් තමන්ගේ පක්ෂයේ ශුද්ධවන්ත නායකයන්ගේ විනිවිදභාවය මුල්‍ය වගවීම ජාතික ප්‍රතිපත්ති තොරතුරු තාක්ෂණය මගින් විදේශ ණය වියදම් කරපු හැටි සතයක් සතයක් පසා විනිවිදභාවයකින් හෙලිදරව් නොකරන්නේ ඇයි ? ප්‍රතිපත්ති ගැන කතා කරපං
2992,පක්ෂය සලකුණ පුකේ ගහගත්තා කියලා රටක් දියුණු වෙනවාද ? පක්ෂවහලුන් තමන්ගේ පක්ෂයේ ශුද්ධවන්ත නායකයන්ගේ විනිවිදභාවය මුල්‍ය වගවීම ජාතික ප්‍රතිපත්ති තොරතුරු තාක්ෂණය මගින් විදේශ ණය වියදම් කරපු හැටි සතයක් සතයක් පසා විනිවිදභාවයකින් හෙලිදරව් නොකරන්නේ ඇයි ? ප්‍රතිපත්ති ගැන කතා කරපං
2993,අනේ යකේා ඔය එක පුකේ එල්ලගනින් බං
2994,කිරි මවිලගෙන් වැඩක් කරගන්නවට වඩා හොදයි පුකේ ඇගිල්ල ගහගන්නවා
2995,කඩේ තියෙන මල් අරං කෙල්ලෙක්ට දෙන්න බැරිවුනා කියලා දුක් වෙන්න එපාකඩේ ගාවට ගිහින් නැමුනම මුදලාලි මල පුකේ ගහන්නේ නැහැ ඒවට සල්ලි ඕනිඉතින් ඒ ගාන ඉතුරු වුනා කියලා සතුටු වෙන්න
2996,උන්ගේ මොලේ තියෙන්නේ පුකේ කියලා පෙන්වන්න
2997,දැන් හරිනේ පුකේ අමාරුව
2998,ඔව්වොන්ගේ පුකේ ඉදන් ප්‍රෝඩාව
2999,හොස්ට් කම හීනියට රෝල් කරලා ගහගනිං පුකේ
3000,තාත්තා පන්සලට පන්දාහක් දීල ශේප්වෙන්න හදනකොට ගෙදර අනෙක් අයට පුකේ ඉත්තෑව දුවනවා මේ පාරවත් දානෙ දෙන්න ඕන කියලාතාත්තට කියල මාත් කට් එක දාන්න ඕනාතාත්ත ගෙ හිත අප්සැට් යයි කියල සහභාගී වෙනො මිසක් දාන කියන්නෙ මට ලල් ආතල් එකක් නෙමෙයි
3001,ලංකාවේ සෞඛ්‍යගැන කියලා වැඩක් නෑරෝහල් සේවක මණ්ඩලය එකෙක් ට පුකේ අමාරුවක් හැදුනොත් ස්ට්‍රයික් දොස්තර ලා නර්ස් ලාඒ වගේ මයි හොස්පිටල් ළග මිනිස්සු අඩන හැටිදැක්කම පවි කියලා හිතෙනවා කවදාවත්ම මැති ඇමතිවරුන් ට රිදෙන්න වෙන්න ඇතිකියලද රජයේ රෝහල්වල ට එන්නේ නැති කම නිසානේ හරි වැරදි
3002,අඩෝ මේ ඌට පරයා කියන්න
3003,අඩෝ සිරාවට ඉතින් උන්ට වෙනම සබන් කැල්ලක් තිබ්බානාම් හරිනේ
3004,අඩෝ කොහෙද හිටියේ බැන්ඳද බන්
3005,අඩෝ ඒම කියන්න එපා කටුනායක ට හරි මම කටුනායක
3006,අඩෝ බලු වැඩ කරන්න එපා අපිට ඉවර වෙනකන් ඉදපන්
3007,අඩෝ තට්ටයියගෙ කොන්ඩ තියන වර්ශන් එකක්
3008,අඩෝ එළ නේ කරමු
3009,අඩෝ අපිට දැන් කියන කතා මලගෙදර එනවමයි
3010,අඩෝ උඹ මීට අවුරුදු පහකට හයකට කලින් පට්ට සැහැල්ලුවෙන් සතුටින් ජීවිතේ ගෙව්ව ජීවියෙක් නේද කියලා මගෙ හිත මගෙන්ම අහනවා
3011,එහෙම්මම සිංහලෙන් කිවුවා ? අඩෝපට්ට සීන් එකක් මේ
3012,අඩෝ සුදු මයිලක්වත් නෑනේකෙල්ලො ඊරිසියා කරයි බන්
3013,අඩෝ එහෙම කරන්නෙපා බන්
3014,අඩෝ බෙහෙත දාපන් බලන්න අර එකේ එකේ බැලුවාද ? ඒකටම එහා රාජ්‍ය ඔසු සලත් තිනවා දාපන්කෝ බලන්න බේත්
3015,අඩෝ ඔව් බන් මගේ එක ගෙයක තව තට්ටුවක් ගැහුවා
3016,අඩෝ මේ රටට ඩොලර් එවලා අපිට බෝතල් එවපම් ආ
3017,අඩෝ මොකද්ද මේ කකුල් කේස් එක
3018,අඩෝ නේ ගැම්මක් තමා ඉතින්
3019,අඩෝ සයින් එකක් අරන් දියන්කෝ ඒක විකුනලා ඉඩම් - ක් විතර ගත්තැකී
3020,අඩෝ උඹ සෑහෙන්න දේවල් දන්නවා නේ
3021,අඩෝ අර වගේ ඔටුවෙක්ට දෙන්නයිඅපිට හුලන්මේ ගෑනුන්ගෙ මොලේ ගොමද ?
3022,අඩෝ නාන ගමන් ලයිව් එන්නකො
